area,avg_ms,max_ms,p99_ms,calls_per_frame
__frame_total,113.071,141.272,141.272,1.000
Grass Collect,2.879,4.983,4.983,1.000
Prop Culling,0.140,0.487,0.487,1.000
Grass Wind,0.039,0.063,0.063,1.000
Face Visibility,0.032,0.044,0.044,1.000
Mesh Dirty,0.013,0.017,0.017,1.000
Fog Submit,0.003,0.005,0.005,1.000
Grass Cull,0.002,0.008,0.008,1.000
Grass Animate,0.002,0.004,0.004,1.000
Reflection Render,0.001,0.002,0.002,1.000
Prop Billboard,0.001,0.002,0.002,1.000
Collider Build,0.000,0.000,0.000,0.000
Foliage Fade,0.000,0.000,0.000,1.000
God Rays,0.000,0.000,0.000,0.000
LOD Update,0.000,0.000,0.000,1.000
Octree Rebuild,0.000,0.000,0.000,1.000
Prop Spawn,0.000,0.000,0.000,1.000
Visible Chunks,0.000,0.000,0.000,1.000
Water Sim,0.000,0.000,0.000,0.000
Water Upload,0.000,0.000,0.000,0.000
